Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
BON,1997,360673,26415,24061,3206,258385,33580,47008,15,46,0,2171561
BON,1998,248860,32084,46290,3630,185094,35701,13218,0,118,0,1890992
BON,1999,306981,36195,40684,4468,206488,55064,17877,28,43,37308,1638272
BON,2000,401711,90194,85649,11383,275178,76192,93398,0,17,19002,1244317
BON,2001,867728,103391,259533,6781,633073,149317,114934,-4,29,27947,2297959
BON,2002,871763,54649,88570,6827,483956,143196,49610,0,98,100476,3164556
BON,2003,921314,75346,125746,8128,365821,112823,39291,637,411,117029,4558550
BON,2004,846026,60256,114941,4788,313377,97875,123291,1,42,61780,5355677
BON,2005,570413,30002,83305,5486,315650,88999,72971,22,139,26664,4242129
BON,2006,493708,32830,102111,7943,339301,85082,37066,6,165,38941,3965254
BON,2007,275954,83721,96376,4268,325275,82197,24376,27,142,19310,2575277
BON,2008,518942,68486,135535,10524,357845,105670,213607,60,75,14562,2144756
BON,2009,480284,218837,224893,9776,604970,172383,177823,95,109,8622,1373738
BON,2010,809799,92641,120915,6940,416603,156139,386525,6,124,6234,1042471
BON,2011,677171,186030,145299,4584,369365,129166,185796,3828,50,18315,948070
BON,2012,589937,143993,54968,5055,235303,85472,515673,1,65,29224,2432394
BON,2013,1129664,171047,59610,7148,234047,99148,185505,508,167,23970,3751375
BON,2014,1152643,187016,279717,14801,325965,130571,614179,1,122,31953,2603269
BON,2015,1337101,113582,37402,4865,268730,97782,510706,55,176,38716,1815001
BON,2016,697981,76191,42020,5489,188146,52260,342498,3,47,52324,1770303
BON,2017,488981,66459,75936,4820,117878,34405,87693,42,21,82564,3135401
At Bonneville Dam for the year 2017, the start date is 01/01/2017 and the end date is 12/31/2017.,,,,,,,,,,,
This file contains adult salmon annual totals dam count data for the requested time period of: 1997 to 2017 for Bonneville Dam.,,,,,,,,,,,,
